model,target_class,style_name,target_image,source_image1,source_image2,source_image3
hf_textualinversion,dog,art_painting,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_art_painting_44035.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_64816.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_45902.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_57699.jpg
hf_textualinversion,elephant,cartoon,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_cartoon_36562.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_36583.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_55330.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_57717.jpg
hf_textualinversion,person,photo,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_photo_37872.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_65142.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_85346.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_72979.jpg
hf_textualinversion,dog,sketch,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_sketch_78588.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_90372.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_5350.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_14886.jpg
hf_textualinversion,guitar,art_painting,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_art_painting_55710.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_84978.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_34125.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_22738.jpg
hf_textualinversion,guitar,cartoon,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_cartoon_15938.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_84103.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_7240.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_41234.jpg
hf_textualinversion,guitar,photo,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_photo_9050.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_66743.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_61898.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_photo_74433.jpg
hf_textualinversion,giraffe,sketch,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_sketch_28127.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_4491.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_85882.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_sketch_90430.jpg
hf_textualinversion,elephant,art_painting,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_art_painting_3956.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_85657.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_60496.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_art_painting_52247.jpg
hf_textualinversion,dog,cartoon,https://conceptbed.s3.us-east-2.amazonaws.com/domain/none_with_emb_without_multires_cartoon_96050.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_93560.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_78602.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/domain/original_cartoon_27186.jpg
